#,Split,x1_cylinders_std,x2_displacement_std,x3_horsepower_std,x4_weight_std,x5_acceleration_std,x6_model_year_std,x7_origin_std,mpg
1,train,-0.890867,-0.961317,-0.937838,-0.952167,0.890790,-1.064320,0.510396,26.000
2,train,-0.890867,-0.725403,0.231388,-0.244120,0.068302,0.567516,0.510396,21.600
3,train,-0.890867,-1.008500,-1.166600,-1.406672,0.318625,0.567516,1.745225,36.100
4,train,-0.890867,-1.008500,-0.912420,-1.225571,1.784799,-1.336292,-0.724433,26.000
5,train,-0.890867,-0.546109,-0.505733,-0.249962,0.032542,1.655407,-0.724433,27.000
6,train,-0.890867,-0.951880,-0.785330,-0.991892,0.318625,0.023571,1.745225,28.000
7,train,1.428092,1.907394,1.629376,2.035416,-1.254830,-1.336292,-0.724433,13.000
8,train,-0.890867,-0.951880,-0.785330,-0.863369,0.962311,0.295544,1.745225,26.000
9,train,0.268613,0.255998,-0.276971,0.303856,0.175583,-0.248402,-0.724433,19.000
10,train,-0.890867,-1.225540,-1.446198,-1.328390,1.427195,-0.792347,0.510396,29.000
11,train,1.428092,1.813028,2.137736,0.988535,-2.506442,-1.608265,-0.724433,15.000
12,train,0.268613,-0.395124,0.053462,-0.086387,-0.003218,0.023571,1.745225,19.000
13,train,1.428092,1.435566,1.248107,1.584416,-0.217780,0.839489,-0.724433,16.900
14,train,-0.890867,-0.951880,-0.785330,-0.973198,0.175583,-0.248402,1.745225,29.000
15,train,0.268613,-0.329068,0.688912,0.474442,0.104063,0.567516,0.510396,16.200
16,train,-0.890867,-0.810332,-0.454897,-0.466115,1.462956,1.655407,-0.724433,28.000
17,train,0.268613,0.001211,-0.276971,0.114577,0.354385,-0.520374,-0.724433,20.000
18,train,-0.890867,-0.848078,-0.785330,-0.764056,0.461666,1.383434,1.745225,32.400
19,train,-0.890867,-0.725403,-0.658241,-0.390170,-0.182020,0.839489,-0.724433,27.400
20,train,-0.890867,-0.715967,-0.454897,-0.588797,-0.146260,1.111462,0.510396,35.000
21,train,0.268613,0.001211,-0.276971,-0.199721,-0.003218,-1.608265,-0.724433,22.000
22,train,-0.890867,-0.951880,-1.369944,-1.021102,3.250973,1.655407,0.510396,44.000
23,train,-0.890867,-1.008500,-0.963256,-1.190519,0.175583,1.383434,1.745225,34.100
24,train,1.428092,1.029795,0.612658,0.584271,-1.254830,-1.608265,-0.724433,18.000
25,train,-0.890867,-1.121738,-0.988674,-1.216224,-0.003218,-0.520374,0.510396,26.000
26,train,-0.890867,-0.942444,-0.404061,-0.863369,-0.003218,-0.792347,0.510396,26.000
27,train,-0.890867,-0.734840,-0.480315,-0.029136,1.427195,-1.064320,0.510396,21.000
28,train,0.268613,0.255998,-0.022791,0.508325,-0.003218,-1.336292,-0.724433,16.000
29,train,-0.890867,-0.951880,-1.522451,-1.231413,1.963600,-0.792347,0.510396,26.000
30,train,-0.890867,-0.725403,-0.759912,-0.575944,0.890790,-1.064320,0.510396,22.000
31,train,1.428092,1.435566,0.993927,1.677888,-0.539624,-0.248402,-0.724433,15.000
32,train,0.268613,0.322054,-0.404061,0.240763,0.604707,0.567516,-0.724433,19.400
33,train,1.428092,0.652333,0.485568,0.702279,-0.182020,0.839489,-0.724433,19.200
34,train,-0.890867,-0.734840,-0.810748,-0.431063,0.998071,1.383434,1.745225,31.600
35,train,1.428092,1.907394,1.121017,1.705929,-1.254830,-0.792347,-0.724433,13.000
36,train,-0.890867,-1.008500,-0.988674,-1.178835,0.247104,1.655407,1.745225,38.000
37,train,1.428092,0.982612,0.866837,1.909230,0.175583,-0.520374,-0.724433,14.000
38,train,-0.890867,-0.947162,-0.658241,-1.025776,0.533187,-1.064320,-0.724433,25.000
39,train,1.428092,0.982612,0.866837,1.507302,0.175583,-1.064320,-0.724433,13.000
40,train,1.428092,1.529932,2.773185,1.882357,-0.539624,-1.608265,-0.724433,10.000
41,train,1.428092,1.029795,0.612658,1.278297,-0.539624,-1.064320,-0.724433,13.000
42,train,-0.890867,-1.017936,-0.785330,-1.046807,-0.003218,-0.520374,0.510396,24.000
43,train,-0.890867,-0.876388,-0.810748,-1.196361,-0.074739,1.655407,0.510396,36.000
44,train,-0.890867,-0.951880,-0.709077,-0.822475,-0.360822,-0.520374,0.510396,26.000
45,train,1.428092,1.445003,1.070181,1.931429,-0.718425,-0.248402,-0.724433,14.000
46,train,1.428092,2.284856,2.773185,2.022564,-1.612434,-0.792347,-0.724433,13.000
47,train,0.268613,0.491911,-0.149881,0.324887,-0.182020,-1.336292,-0.724433,19.000
48,train,-0.890867,-1.008500,-0.937838,-1.021102,-0.289301,0.839489,0.510396,37.300
49,train,-0.890867,-0.546109,-0.861584,-0.704468,1.427195,-0.792347,-0.724433,21.000
50,train,-0.890867,-1.017936,-0.912420,-1.246602,-0.468103,0.023571,0.510396,29.000
51,train,1.428092,1.445003,1.197271,1.343727,-0.718425,-1.336292,-0.724433,14.000
52,train,-0.890867,-0.800896,-0.276971,-0.848180,-0.003218,-1.064320,1.745225,24.000
53,train,-0.890867,-0.546109,-0.404061,-0.864537,-0.003218,-1.336292,-0.724433,28.000
54,train,-0.890867,-0.734840,-0.454897,-0.986050,-0.360822,1.655407,1.745225,36.000
55,train,0.268613,0.322054,0.155134,-0.197385,-0.289301,1.655407,-0.724433,22.000
56,train,0.268613,0.567404,0.104298,0.733825,0.890790,-0.520374,-0.724433,16.000
57,train,1.428092,0.605150,0.104298,0.253615,-0.718425,-0.248402,-0.724433,20.000
58,train,0.268613,0.322054,-0.149881,-0.105081,0.175583,-0.248402,-0.724433,20.000
59,train,-0.890867,-0.885824,-0.276971,-0.734846,0.711988,-1.608265,0.510396,25.000
60,train,-0.890867,-0.800896,-0.276971,-0.906600,-0.539624,-1.336292,1.745225,25.000
61,train,1.428092,2.426404,3.027365,2.274937,-1.612434,-0.792347,-0.724433,12.000
62,train,0.268613,0.322054,-0.404061,0.094714,0.747749,0.023571,-0.724433,22.500
63,train,0.268613,-0.234703,0.231388,-0.355118,-0.932987,0.839489,-0.724433,26.800
64,train,-0.890867,-0.734840,-0.454897,-0.054841,0.533187,-0.248402,0.510396,23.000
65,train,-0.890867,-0.602728,-0.276971,-0.571271,-0.253541,0.567516,1.745225,21.100
66,train,-0.890867,-0.772586,-0.632823,-0.915947,0.497426,0.023571,0.510396,25.000
67,train,-0.890867,-0.546109,-0.454897,-0.331750,-0.038979,0.567516,-0.724433,25.100
68,train,-0.890867,-1.017936,-0.912420,-1.246602,-0.539624,-0.248402,0.510396,29.000
