#,Split,MedInc (std),House Value ($100k)
1,train,-1.155301,0.477000
2,train,-0.706143,0.458000
3,train,-0.204836,5.000010
4,train,0.987934,2.186000
5,train,-0.075441,2.780000
6,train,0.447476,1.587000
7,train,0.642546,1.982000
8,train,-0.093511,1.575000
9,train,0.494447,3.400000
10,train,2.243103,4.466000
11,train,-0.700648,1.232000
12,train,-0.458501,2.539000
13,train,-0.532789,2.151000
14,train,-0.278384,2.205000
15,train,0.792018,2.198000
16,train,-0.025194,1.362000
17,train,0.020350,1.784000
18,train,0.140975,1.875000
19,train,-0.023503,1.398000
20,train,-0.887793,1.375000
21,train,0.191222,4.250000
22,train,0.263607,4.056000
23,train,0.781979,1.388000
24,train,1.196477,5.000010
25,train,0.187893,1.621000
26,train,-1.007889,0.514000
27,train,-0.696051,1.513000
28,train,-0.326412,0.948000
29,train,-0.115068,2.041000
30,train,1.233726,3.615000
31,train,-1.187848,0.851000
32,train,-1.393696,1.384000
33,train,-0.232047,1.375000
34,train,1.713476,4.650000
35,train,-0.198602,2.718000
36,train,0.865619,2.394000
37,train,0.267992,3.409000
38,train,-0.241082,1.504000
39,train,-0.410051,1.281000
40,train,-0.600049,1.560000
41,train,1.447447,2.581000
42,train,-0.040200,0.905000
43,train,-0.845313,0.713000
44,train,-0.211282,2.197000
45,train,0.034774,1.510000
46,train,-0.446825,2.901000
47,train,-0.189250,1.420000
48,train,-0.412270,2.915000
49,train,-0.593180,2.554000
50,train,-0.341417,0.981000
51,train,0.334037,2.519000
52,train,-0.667943,1.621000
53,train,-0.232047,1.294000
54,train,-1.202589,0.894000
55,train,-0.570513,1.505000
56,train,0.827365,1.338000
57,train,-0.966360,0.804000
58,train,0.638266,2.111000
59,train,0.386186,2.556000
60,train,0.892142,2.145000
61,train,0.190693,5.000010
62,train,-0.522274,2.021000
63,train,-0.651722,0.815000
64,train,-0.485712,0.988000
65,train,1.257238,2.819000
66,train,-0.166953,1.846000
67,train,-0.592863,2.547000
68,train,0.110383,1.431000
69,train,-1.396127,1.625000
70,train,-0.735890,1.426000
71,train,-0.143494,0.859000
72,train,0.489005,1.869000
73,train,-0.172289,0.713000
74,train,0.125335,1.744000
75,train,-0.210278,2.250000
76,train,-0.045695,1.465000
77,train,1.182792,4.050000
78,train,0.078681,1.896000
79,train,0.118784,1.644000
80,train,-0.839237,3.375000
81,train,-0.760670,0.725000
82,train,-0.722681,1.438000
83,train,-1.144522,1.600000
84,train,-1.143360,1.181000
85,train,1.609231,3.740000
86,train,0.961410,2.027000
87,train,-0.991827,0.966000
88,train,-1.168457,0.658000
89,train,-1.147851,1.674000
90,train,-0.588478,1.798000
91,train,-0.402865,0.967000
92,train,-0.105452,2.661000
93,train,-1.055758,0.911000
94,train,-1.273389,0.498000
95,train,-0.644959,0.907000
96,train,-0.545839,1.158000
97,train,-0.171338,2.786000
98,train,-1.352960,2.500000
99,train,-0.493901,0.850000
100,train,-0.236960,1.770000
101,train,-0.426905,0.997000
102,train,3.080763,3.576000
103,train,0.294410,4.750000
104,train,1.457962,2.736000
105,train,-0.071320,1.824000
106,train,-0.429442,1.578000
107,train,-1.062098,1.938000
108,train,0.543161,3.336000
109,train,-0.126058,2.646000
110,train,-0.892865,0.584000
111,train,-0.682420,1.734000
112,train,0.222606,2.148000
113,train,3.253906,2.000000
114,train,2.105730,4.228000
115,train,-0.331484,0.936000
116,train,-0.421833,1.222000
117,train,-0.120933,1.676000
118,train,0.145360,3.036000
119,train,0.532171,2.693000
120,train,0.691313,2.644000
121,train,-0.370688,1.910000
122,train,-0.049023,1.538000
123,train,0.482664,2.755000
124,train,-1.158048,2.088000
125,train,-0.448357,1.423000
126,train,-0.710317,0.635000
127,train,-1.162539,0.958000
128,train,-0.609665,2.317000
129,train,-0.271198,2.215000
130,train,-0.128277,0.895000
131,train,1.067980,2.260000
132,train,5.881857,5.000010
133,train,0.273751,2.702000
134,train,-0.808169,0.596000
135,train,-0.246101,1.933000
136,train,-0.264488,1.336000
137,train,0.267992,1.619000
138,train,-0.386433,3.575000
139,train,0.234970,2.765000
140,train,0.652796,4.107000
141,train,-1.037318,3.750000
142,train,-0.618435,1.352000
143,train,-0.768384,1.672000
144,train,-0.687915,2.520000
145,train,2.276284,3.084000
146,train,-0.982263,1.721000
147,train,1.315727,5.000010
148,train,-0.872365,1.938000
149,train,-0.911886,1.052000
150,train,-0.832738,0.908000
151,train,-1.199683,1.688000
152,train,-0.361970,1.621000
153,train,0.223980,1.612000
154,train,-0.849698,1.375000
155,train,-0.354045,2.893000
